Cadena,UPC,Descripcion,Formato,NumTienda,NomTienda,ID TIENDA ,Tiempo,OH Piezas,IT Piezas
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Cedis_Chedraui,402,Cedis Mexico Secos - Frescos 04-05,CHE402,20250511,3.00000,0.00000
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Cedis_Chedraui,403,Cedis Villahermosa Secos - Frescos 07-09,CHE403,20250511,8.00000,0.00000
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Cedis_Chedraui,413,Cedis Guadalajara Secos - Frescos 07-10,CHE413,20250511,2.00000,0.00000
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Chedraui,108,Chedraui Guadalajara Vallarta 12-08,CHE108,20250511,10.00000,0.00000
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Chedraui,126,Chedraui La Paz Palacio 05-10,CHE126,20250511,17.00000,0.00000
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Chedraui,128,Chedraui Cabo San Lucas 05-10,CHE128,20250511,12.00000,0.00000
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Chedraui,13,Chedraui Tuxtla Crystal 06-90,CHE13,20250511,10.00000,0.00000
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Chedraui,143,Chedraui Nuevo Vallarta 12-11,CHE143,20250511,5.00000,0.00000
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Chedraui,15,Chedraui Puebla Crystal 03-91,CHE15,20250511,4.00000,0.00000
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Chedraui,157,Chedraui Mexico Heroes De Tecamac 08-12,CHE157,20250511,5.00000,0.00000
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Chedraui,158,Chedraui Mexico Plaza Americas 07-12,CHE158,20250511,4.00000,0.00000
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Chedraui,176,Chedraui Bucerias 08-16,CHE176,20250511,3.00000,0.00000
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Chedraui,185,Chedraui Queretaro Paseo 09-18,CHE185,20250511,6.00000,0.00000
